image_id,mean_iou,precision_05,recall_05,f1_05,precision_07,recall_07,f1_07,n_gt_cells,n_pred_cells
1400420310c9094361a8a243545187f1d4c2365e081b3bb08c5fa29c7491a55b,0.6135140478127323,0.7727272727272727,0.68,0.7234042553191491,0.6363636363636364,0.56,0.5957446808510639,25,22
14cc1424c59808274e123db51292e9dbb5b037ef3e7c767a8c45c9ac733b91bf,0.859055052797981,0.9090909090909091,0.9523809523809523,0.9302325581395349,0.8181818181818182,0.8571428571428571,0.8372093023255814,21,22
15039b3acccc4257a1a442646a89b6e596b5eb4531637e6d8fa1c43203722c99,0.4445160535146657,0.75,0.5454545454545454,0.631578947368421,0.3333333333333333,0.24242424242424243,0.2807017543859649,33,24
150b0ffa318c87b31d78af0e87d60390dbcd84b5f228a8c1fb3225cbe5df3e3f,0.7653216354133533,0.9789473684210527,0.9393939393939394,0.9587628865979383,0.868421052631579,0.8333333333333334,0.8505154639175259,198,190
1609b1b8480ee52652a644403b3f7d5511410a016750aa3b9a4c8ddb3e893e8e,0.8350605970418505,0.9444444444444444,0.8947368421052632,0.918918918918919,0.9444444444444444,0.8947368421052632,0.918918918918919,19,18
1631352dbafb8a90f11219fffd3bea368a30bc3bad3bbe0e84e19bd720df4945,0.6033242913840724,0.71875,0.71875,0.71875,0.46875,0.46875,0.46875,32,32
16c3d5935ba94b720becc24b7a05741c26149e221e3401924080f41e2f891368,0.45654546470163465,1.0,0.6363636363636364,0.7777777777777778,0.7142857142857143,0.45454545454545453,0.5555555555555556,11,7
1740b0a67ca337ea31648b57c81bcfbb841c7bb5cad185199a9f4da596d531b9,0.5472781873052939,0.875,0.7777777777777778,0.823529411764706,0.25,0.2222222222222222,0.23529411764705882,9,8
175dbb364bfefc9537931144861c9b6e08934df3992782c669c6fe4234319dfc,0.8858040752751983,0.9887005649717514,0.9776536312849162,0.9831460674157303,0.9717514124293786,0.9608938547486033,0.9662921348314607,179,177
1815cf307859b3e13669041d181aa3b3dbbac1a95aef4c42164b223110c09168,0.2393086468909772,0.3333333333333333,0.2222222222222222,0.26666666666666666,0.16666666666666666,0.1111111111111111,0.13333333333333333,9,6
193ffaa5272d5c421ae02130a64d98ad120ec70e4ed97a72cdcd4801ce93b066,0.827903084287307,0.9615384615384616,0.9554140127388535,0.9584664536741214,0.9166666666666666,0.910828025477707,0.9137380191693291,157,156
19f0653c33982a416feed56e5d1ce6849fd83314fd19dfa1c5b23c6b66e9868a,0.5577668999182727,0.5844155844155844,0.6428571428571429,0.6122448979591837,0.44155844155844154,0.4857142857142857,0.4625850340136054,70,77
1a11552569160f0b1ea10bedbd628ce6c14f29edec5092034c2309c556df833e,0.180625653385644,0.25,0.17391304347826086,0.20512820512820512,0.25,0.17391304347826086,0.20512820512820512,46,32
1a75de9e11303142864efed27e69ea1960dbd82ca910de221a777ed2caf35a6b,0.8386037869995405,0.8095238095238095,0.85,0.8292682926829269,0.8095238095238095,0.85,0.8292682926829269,20,21
1a75e9f15481d11084fe66bc2a5afac6dc5bec20ed56a7351a6d65ef0fe8762b,0.4349974542849443,0.625,0.625,0.625,0.125,0.125,0.125,8,8
1b2bf5933b0fb82918d278983bee66e9532b53807c3638efd9af66d20a2bae88,0.28132549942883506,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,11,11
1b44d22643830cd4f23c9deadb0bd499fb392fb2cd9526d81547d93077d983df,0.28255389991599844,0.42857142857142855,0.3125,0.3614457831325301,0.4,0.2916666666666667,0.3373493975903615,96,70
1b518cd2ea84a389c267662840f3d902d0129fab27696215db2488de6d4316c5,0.9124969303293278,0.974025974025974,0.9868421052631579,0.9803921568627451,0.974025974025974,0.9868421052631579,0.9803921568627451,76,77
